Item,tags
Tells you stats about their research cluster, "hpc"
Shows building a container, "container"
Mentions GitHub or version control, "code"
Shows code on sides, "code"
Research involves MPI, "hpc"
Asks the audience a question, "social"
Slide with all pictures, "slide"
Slide with all text, "slide"
Text is too small, "error"
Graph on slide, "slide"
Live demo!, "slide"
Hear a ding for someone joining late, "remote"
Am I sharing my screen?, "remote"
Can everybody hear me?, "remote"
Low hanging fruit, "topic"
Virtual background #fail, "remote"
Cat walks across the screen, "remote"
Sorry I've been having networking issues, "remote"
Something automated fails, "rse"
Joke about not wearing pants, "remote"
Do it anyway, "remote"
Next slide please, "slide"
Spelling mistake on slide, "slide"
Linux kernel, "topic"
Operating system discussion, "os"
Text editor mention, "software"
Cloud native, "cloud"
Mention of Kubernetes, "cloud"
A database story, "database"
Open source software, "rse"
AI! AI! AI!, "hype"
Licensing issue, "rse"
Networking error, "rse"
It was a permissions error, "error"
People are harder than software, "social"
Tweet shown on slide, "slide"
Many thanks slide, "slide"
Running web-based experiments, "topic"
Physics simulations, "topic"
My cluster is bigger than your cluster, "hpc"
I feel attacked, "social"
cgroups and namespaces, "linux"
Mention that something is eating the world, "social"
A new standard!, "rse"
Mobile development, "software"
Bloom filters, "topic"
Life hacks for learning, "social"
Internet of things, "rse"
Backup disaster story, "social"
Reference from wikipedia, "slide"
Asciinema on a slide, "slide"
Dependency hell, "software"
Package managers, "software"
Embedded systems, "topic"
Geospatial software, "software"
GoLang, "code"
Algorithm development, "topic"
Hardware development, "topic"
Someone says 'bespoke', "social"
Software that ends in 'stack', "software"
Python 2!, "software"
Reproducibility, "topic"
Speaker touches face, "social"
Someone wearing pink, "social"
Laughing, "social"
Quantum computing, "topic"
Using rust, "software"
Difference b/w virtualization and containers, "container"
Someone falls asleep, "social"
Copy paste error, "error"
