Item,tags
Baking bread, "cooking"
Staring at the ceiling, "passive"
Reading a book, "passive"
Playing video games, "game"
Drawing, "art"
Binging Netflix, "entertainment"
Stationary bike, "exercise"
Exercise video or app, "exercise"
Recording videos for the internet, "entertainment"
Making more food than you can ever eat, "cooking"
Adult activities, "exercise"
Watching a movie, "entertainment"
Doing a puzzle, "game"
Listening to Dr. Fauci, "news"
Throwing tomatoes at POTUS, "news"
Thinking about the future, "passive"
Thinking about the past, "passive"
Worrying, "passive"
Picking your nose, "entertainment"
Spending a long time with the toilet paper, "entertainment"
Livestream your cat, "entertainment"
Zoom call for happy hour or social, "social"
Programming, "work"
Singing with your neighbors, "social"
Building something, "work"
Organizing, "exercise"
Staring out the window, "passive"
Singing, "entertainment"
Reading the internet, "passive"
Fighting for grocery delivery spots, "social"
Sewing, "entertainment"
